FileID,Northing (m),Easting (m),TVDSS (m),Umin (m),Uint (m),Umax (m),Azimuth Umax (deg),Elevation Umax (deg),relative ot (s),Confidence Index,SNR mean P,SNR mean S,Mw P,Mw S,Mw (calibrated),,
20230719_120910.060,4263130.53,335774.24,686.04,14.63,14.82,44.35,267.25,82.84,2.450,46,86,30,1.14,0.67,-0.25,,
20230719_121356.380,4263125.57,335778.54,661.28,13.30,16.30,36.85,270.27,90.92,2.494,38,21,15,0.66,0.71,-0.47,,
20230719_124327.820,4263103.33,335763.57,684.45,13.18,15.13,30.09,89.81,91.75,2.460,45,58,28,0.65,0.66,-0.50,,
20230719_124657.380,4262958.31,335718.17,740.97,15.25,15.79,22.14,272.17,88.71,2.444,38,21,15,0.66,0.63,-0.50,,
20230719_124910.540,4263122.27,335685.60,585.12,14.13,15.10,35.30,272.87,89.40,2.509,55,25,31,0.84,0.84,-0.31,,
20230719_125617.420,4263115.67,335680.29,608.85,12.53,12.61,24.02,270.00,90.01,2.531,60,43,59,0.99,1.02,-0.15,,
20230719_125643.720,4263133.50,335686.60,613.59,11.46,11.81,25.75,270.21,91.05,2.522,65,43,69,0.98,1.08,-0.12,,
20230719_130548.860,4262967.62,335747.28,715.29,10.98,12.27,26.31,276.70,89.76,2.491,25,21,15,0.74,0.71,-0.42,,
20230719_131651.700,4263158.68,335692.95,581.22,14.80,21.29,23.80,93.08,90.11,2.510,45,36,24,0.66,0.74,-0.45,,
20230719_131653.920,4263158.45,335692.93,581.28,14.79,21.73,33.11,54.19,89.10,0.289,31,36,23,0.64,0.73,-0.47,,
20230719_133952.740,4263151.95,335873.75,584.15,12.21,14.98,29.60,277.90,88.50,4.722,10,5,5,1.12,0.87,-0.16,,
20230719_134203.960,4263101.96,335734.61,669.04,13.18,15.05,42.54,90.17,91.20,2.507,44,41,27,0.68,0.72,-0.45,,
20230719_135423.660,4263062.30,335753.89,694.51,14.56,18.80,34.42,75.98,91.70,2.515,57,51,55,1.08,1.25,0.02,,
20230719_135957.880,4263128.59,335741.53,672.17,12.32,14.17,25.96,270.39,91.08,2.503,50,50,37,0.88,0.81,-0.30,,
20230719_140753.600,4263105.35,335767.86,671.38,14.97,17.17,43.31,88.89,91.12,2.493,41,32,17,0.61,0.58,-0.55,,
20230719_141257.260,4263140.15,335688.73,576.42,12.77,15.60,36.95,271.65,90.76,2.513,47,26,20,0.68,0.71,-0.46,,
20230719_142106.840,4263049.50,335761.91,704.80,17.44,18.42,42.92,269.59,90.64,2.491,34,19,14,0.67,0.66,-0.48,,
20230719_144729.880,4263117.98,335743.10,648.57,15.97,18.62,30.43,88.82,91.30,2.457,32,17,13,0.63,0.60,-0.54,,
20230719_145559.460,4263016.80,335756.35,712.01,19.13,19.60,41.20,268.82,89.98,2.506,35,26,18,0.73,0.64,-0.47,,
20230719_152521.700,4263125.30,335741.91,663.71,12.56,15.90,25.81,89.32,90.57,2.496,52,46,41,0.92,0.86,-0.26,,
20230719_154038.400,4263051.60,335717.05,691.16,12.06,15.47,39.55,272.85,88.99,2.521,67,51,96,1.07,1.27,0.02,,
20230719_154546.400,4263146.97,335693.32,608.98,10.11,11.84,30.38,89.72,91.31,2.532,36,27,21,0.58,0.64,-0.54,,
20230719_155048.700,4263114.04,335776.88,657.81,10.42,12.45,25.13,270.83,90.44,2.499,37,23,26,0.95,1.02,-0.16,,
20230719_155614.680,4262980.21,335668.54,652.50,14.25,17.53,22.47,263.56,97.40,2.455,28,13,11,0.57,0.52,-0.61,,
20230719_155920.240,4262964.77,335679.18,685.18,9.38,17.35,38.81,80.01,90.22,2.500,32,24,20,1.00,0.73,-0.29,,
20230719_160406.840,4263079.14,335782.21,714.64,17.90,18.82,44.72,88.21,90.57,2.520,37,23,16,0.80,0.69,-0.40,,
20230719_160545.080,4263062.71,335646.43,644.33,12.74,13.80,34.26,271.79,89.13,2.499,48,26,30,0.65,0.65,-0.50,,
20230719_160610.400,4263128.07,335683.40,581.03,13.32,16.66,43.25,270.72,88.94,2.458,39,19,13,0.61,0.63,-0.53,,
20230719_160728.180,4262990.05,335736.44,702.74,21.45,22.48,43.49,56.89,69.66,2.466,26,13,11,0.55,0.51,-0.62,,
20230719_164452.140,4263108.97,335777.97,658.02,14.10,15.13,29.42,271.70,91.15,2.514,51,28,36,0.97,1.01,-0.16,,
20230719_165322.460,4263071.05,335653.50,646.23,16.59,17.86,28.76,271.12,88.63,2.502,27,15,13,0.37,0.42,-0.76,,
20230719_165449.380,4262933.28,335645.64,705.17,13.39,19.14,29.83,79.62,93.63,2.530,41,32,40,1.09,0.95,-0.13,,
20230719_165622.080,4262945.08,335695.38,730.47,15.27,27.42,54.42,313.24,87.50,2.475,52,23,38,1.02,0.74,-0.27,,
20230719_165628.340,4262967.39,335728.92,723.57,15.52,22.55,33.91,351.85,92.84,2.450,36,16,17,0.65,0.57,-0.54,,
20230719_165933.780,4263112.92,335675.85,592.30,13.19,14.60,42.17,271.05,88.40,2.494,48,21,22,0.81,0.77,-0.36,,
20230719_170725.580,4262996.73,335737.41,713.50,15.56,16.01,27.92,271.78,90.16,2.487,78,45,85,1.11,1.43,0.12,,
20230719_172342.680,4263085.42,335764.51,669.21,16.23,18.80,41.93,270.17,87.96,2.460,37,22,17,0.61,0.69,-0.50,,
20230719_172520.440,4263163.97,335699.11,584.89,6.80,12.07,29.06,269.18,89.76,2.473,26,17,11,0.43,0.55,-0.66,,
20230719_172543.760,4263101.38,335768.47,670.13,14.85,17.55,43.24,270.01,89.25,2.495,46,34,26,0.83,0.80,-0.33,,
20230719_172727.460,4263051.64,335697.48,623.55,13.93,16.66,25.26,271.95,93.03,2.509,55,50,69,1.04,0.99,-0.13,,
20230719_175813.300,4263130.87,335685.91,582.41,12.95,14.89,36.60,89.39,91.14,2.508,41,18,13,0.57,0.62,-0.55,,
20230719_175832.800,4263136.72,335686.92,581.32,11.10,12.61,25.83,270.13,89.06,2.507,52,24,28,0.83,0.86,-0.30,,
20230719_180055.120,4263129.51,335684.66,579.15,13.23,13.90,36.91,90.08,91.58,2.554,76,71,108,1.15,1.28,0.07,,
20230719_182040.280,4263072.31,335672.38,582.81,13.93,20.88,25.04,68.38,90.32,2.459,34,23,15,0.56,0.60,-0.57,,
20230719_183600.700,4263047.71,335761.33,683.32,17.62,18.35,41.42,90.25,90.59,2.510,51,42,38,1.14,0.94,-0.11,,
20230719_183623.100,4263113.66,335764.96,677.48,14.41,15.79,30.06,271.60,91.00,2.515,52,41,32,1.00,0.79,-0.26,,
20230719_183924.280,4263125.94,335776.07,663.98,12.54,15.00,30.58,89.21,90.88,2.524,44,52,30,0.79,0.70,-0.41,,
20230719_184810.040,4263123.43,335740.45,672.16,13.53,16.26,43.43,269.98,88.45,2.481,42,42,21,0.62,0.63,-0.52,,
20230719_190923.700,4262982.36,335669.71,655.42,14.49,16.24,24.03,272.53,92.20,2.477,34,16,16,0.95,0.59,-0.38,,
20230719_191730.240,4263037.95,335636.69,638.77,11.09,13.83,26.19,79.85,91.51,2.497,47,32,29,0.70,0.66,-0.47,,
20230719_192119.580,4263121.29,335782.52,654.15,10.58,12.58,25.38,271.13,90.35,2.509,40,28,33,1.03,1.04,-0.12,,
20230719_192324.520,4263150.95,335688.47,610.71,13.39,18.18,25.64,78.13,88.86,2.469,29,19,12,0.30,0.46,-0.77,,
20230719_195243.480,4263108.44,335766.73,685.15,12.87,13.27,43.38,271.15,90.30,2.492,58,60,57,1.09,1.03,-0.09,,
20230719_200016.600,4263123.97,335771.09,676.99,9.25,11.66,44.12,270.00,92.02,2.504,46,87,40,1.01,0.84,-0.22,,
20230719_202520.200,4262956.30,335717.33,740.00,12.25,12.78,21.12,272.51,89.72,2.491,34,29,19,0.98,0.83,-0.25,,
20230719_203619.360,4263102.63,335673.26,592.90,12.38,12.84,42.42,270.80,88.50,2.543,56,50,72,1.32,1.29,0.15,,
20230719_205922.900,4262972.77,335725.36,735.57,15.75,16.28,23.53,271.16,89.14,2.461,42,30,15,0.71,0.72,-0.43,,
20230719_210647.360,4263023.21,335636.00,629.21,8.14,9.59,18.49,270.50,92.47,2.512,30,16,13,0.47,0.52,-0.66,,
20230719_212938.900,4263157.45,335698.14,588.21,12.81,15.10,41.71,86.58,92.61,2.502,28,17,11,0.53,0.58,-0.60,,
20230719_214758.140,4263175.95,335678.80,596.74,15.89,17.26,30.58,76.57,88.63,2.504,38,47,26,0.64,0.65,-0.50,,
20230719_221324.580,4263095.56,335760.04,690.42,14.24,14.43,36.68,89.46,90.97,2.495,53,65,36,0.87,0.81,-0.31,,
20230719_223221.820,4263160.14,335689.90,590.74,11.07,16.92,36.06,272.37,90.88,2.474,27,15,10,0.40,0.48,-0.71,,
20230719_223604.600,4263103.46,335781.68,649.33,15.14,15.96,36.46,90.04,90.19,2.488,39,24,20,0.86,0.78,-0.33,,
20230719_231149.120,4263043.10,335711.05,630.60,0.52,4.76,6.20,53.09,89.94,2.500,27,19,19,0.89,0.66,-0.37,,
20230719_234254.620,4263100.69,335760.38,695.60,13.72,13.88,24.13,89.98,90.02,2.480,63,46,74,1.23,1.31,0.12,,
20230720_000643.220,4263162.12,335637.31,616.41,4.68,9.65,27.77,88.42,89.21,2.536,27,24,17,0.50,0.47,-0.66,,
20230720_023811.180,4262928.98,335709.65,751.32,11.21,11.86,22.30,270.49,88.61,2.476,60,32,69,1.25,1.14,0.04,,
20230720_044440.060,4263136.11,335824.68,626.81,21.39,22.71,37.35,344.37,65.19,2.489,58,63,130,1.18,1.44,0.16,,
20230720_060050.400,4262939.81,335665.76,786.33,11.51,13.29,20.01,89.72,91.24,2.454,26,20,11,0.58,0.62,-0.55,,
20230720_073607.100,4263115.92,335741.89,688.29,12.36,14.49,43.57,270.29,88.40,2.497,54,72,43,0.83,0.79,-0.34,,
20230720_073746.420,4263125.79,335772.05,691.97,8.60,11.27,25.25,270.63,90.95,2.455,43,61,40,0.92,0.68,-0.35,,
20230720_074335.220,4263134.95,335679.28,654.18,16.68,16.81,40.59,92.07,79.49,2.470,25,16,10,0.33,0.38,-0.79,,
20230720_074747.500,4263024.19,335635.25,637.27,9.46,11.16,20.03,270.22,89.82,2.520,38,21,20,0.53,0.67,-0.55,,
20230720_075606.580,4263119.28,335763.86,706.34,15.23,15.54,37.06,89.54,91.28,2.443,46,61,31,0.81,0.71,-0.39,,
20230720_080229.500,4262995.65,335613.27,643.27,15.92,16.86,21.79,89.20,90.18,2.477,28,11,12,0.29,0.43,-0.79,,
20230720_080748.780,4263103.94,335762.22,695.46,10.13,11.79,28.63,271.45,88.93,2.489,36,31,18,0.81,0.82,-0.33,,
20230720_081010.300,4263045.02,335731.55,862.61,16.68,18.83,33.66,80.44,102.15,2.474,41,66,26,1.11,0.75,-0.22,,
20230720_081226.360,4263150.50,335756.04,678.88,9.44,12.75,25.87,270.12,88.45,2.563,24,14,14,0.46,0.50,-0.67,,
20230720_081302.320,4262920.47,335772.52,759.57,17.86,18.84,22.31,91.50,91.39,2.410,25,14,10,0.62,0.58,-0.55,,
20230720_082148.080,4263115.77,335678.57,648.17,10.46,13.46,35.37,89.73,92.08,2.540,45,33,30,1.19,0.78,-0.17,,
20230720_082210.760,4263120.31,335674.22,647.99,11.66,13.79,42.67,271.95,91.97,2.508,57,40,77,1.16,0.97,-0.09,,
20230720_082338.880,4263067.88,335715.93,696.25,13.75,15.00,40.57,271.75,89.04,2.445,41,19,19,0.81,0.82,-0.33,,
20230720_082913.020,4263076.43,335720.16,692.33,13.18,17.23,40.23,272.20,88.25,2.467,41,34,21,0.70,0.70,-0.45,,
20230720_084459.700,4263106.10,335766.30,685.73,14.02,14.77,30.34,89.36,91.29,2.502,51,50,33,0.86,0.78,-0.33,,
20230720_084636.400,4263091.69,335755.40,692.51,15.20,17.47,42.26,271.88,89.16,2.543,55,46,43,1.13,0.83,-0.17,,
20230720_085240.640,4263149.29,335692.31,608.87,13.75,15.82,25.53,271.17,91.10,2.525,34,20,14,0.48,0.60,-0.61,,
20230720_085518.820,4263001.01,335712.38,769.76,12.13,15.36,22.14,87.93,89.72,2.432,23,21,16,0.60,0.66,-0.52,,
20230720_085822.540,4263143.14,335691.38,585.28,11.59,12.80,24.10,89.96,90.06,2.508,52,23,29,0.92,0.86,-0.26,,
20230720_090113.160,4263123.00,335596.44,614.21,11.57,16.54,23.96,21.60,85.64,2.523,41,33,28,0.68,0.59,-0.52,,
20230720_090602.640,4263161.08,335759.50,629.71,10.97,17.36,36.14,270.96,91.27,2.475,41,58,25,0.74,0.73,-0.42,,
20230720_091146.460,4263014.92,335626.03,650.21,9.15,11.04,20.61,270.54,90.46,2.500,34,16,18,0.54,0.60,-0.58,,
20230720_091213.760,4262980.34,335695.22,723.12,20.34,22.53,34.16,316.80,75.38,2.462,39,17,21,0.86,0.70,-0.37,,
20230720_091251.500,4263014.19,335624.49,650.98,12.65,13.02,22.64,271.50,89.59,2.520,47,15,28,0.76,0.73,-0.41,,
20230720_091336.660,4263061.14,335648.90,648.50,13.10,13.59,33.61,272.16,88.43,2.510,47,29,29,0.71,0.68,-0.46,,
20230720_091628.360,4262991.29,335702.78,715.76,23.35,23.92,41.74,317.51,79.82,2.461,41,18,26,0.89,0.71,-0.35,,
20230720_092029.360,4263010.38,335622.08,649.42,11.69,12.83,21.83,89.45,89.87,2.500,54,17,37,0.91,0.88,-0.25,,
20230720_092650.140,4263042.17,335743.51,681.22,9.92,15.38,25.90,79.21,89.25,2.478,30,35,19,0.59,0.62,-0.55,,
20230720_093708.020,4262925.20,335703.86,732.53,11.30,12.61,20.91,270.00,90.01,2.471,63,30,80,1.16,1.25,0.06,,
20230720_093718.140,4263092.17,335759.50,692.93,12.83,13.00,25.48,89.29,89.89,2.518,64,53,83,1.16,1.21,0.04,,
20230720_093747.780,4263091.36,335759.05,687.58,10.61,11.59,25.71,89.73,88.85,2.478,53,57,41,1.06,0.82,-0.21,,
20230720_093949.540,4263093.74,335760.41,683.51,11.35,12.61,44.17,269.91,89.53,2.500,45,48,32,0.94,0.85,-0.25,,
20230720_094558.960,4263129.97,335744.37,676.16,12.45,15.39,25.75,89.69,91.59,2.453,38,33,17,0.65,0.63,-0.51,,
20230720_100612.340,4263134.82,335768.14,657.77,11.81,13.34,42.03,271.25,90.70,2.501,43,85,29,1.36,0.75,-0.10,,
20230720_101540.600,4263100.38,335735.51,684.09,13.79,14.08,29.83,270.46,88.61,2.508,51,50,32,0.84,0.84,-0.31,,
20230720_102640.800,4263136.21,335691.78,584.08,14.42,17.73,25.59,78.67,89.26,2.500,43,25,19,0.74,0.72,-0.42,,
20230720_102741.860,4263121.28,335772.33,674.38,13.89,15.57,24.11,89.99,90.02,2.492,46,49,26,1.11,0.79,-0.20,,
20230720_102829.840,4263089.26,335758.44,696.78,14.67,14.84,43.40,89.79,90.95,2.507,51,45,28,0.99,0.81,-0.25,,
20230720_102910.380,4263112.89,335768.71,670.29,13.17,14.25,30.07,271.06,90.96,2.509,49,47,29,0.83,0.79,-0.34,,
20230720_103428.100,4263098.26,335763.91,674.84,13.62,13.65,36.87,89.28,90.98,2.493,69,70,121,1.28,1.53,0.25,,
20230720_110328.540,4263062.96,335758.17,690.23,16.65,19.41,42.22,78.29,90.68,2.483,45,33,25,0.87,0.69,-0.37,,
20230720_110747.940,4262955.26,335670.92,677.09,11.83,17.51,23.88,82.62,93.33,2.508,52,35,54,1.17,1.03,-0.05,,
20230720_111005.680,4263117.78,335771.08,664.24,13.57,15.28,44.28,270.78,91.45,2.455,44,52,29,0.68,0.62,-0.50,,
20230720_113700.260,4263065.95,335708.71,631.06,11.81,17.69,40.16,271.88,88.80,2.455,35,22,17,0.71,0.62,-0.49,,
20230720_115655.360,4263140.24,335688.49,580.82,12.00,13.56,30.54,270.25,88.17,2.506,43,16,18,0.79,0.78,-0.36,,
20230720_123042.460,4263165.30,335852.02,617.42,18.73,21.95,43.58,292.70,84.36,2.430,39,50,28,0.77,0.71,-0.41,,
20230720_123256.300,4263103.62,335769.02,667.32,14.33,17.04,43.14,89.51,91.87,2.480,44,44,26,0.74,0.76,-0.40,,
20230720_140009.780,4263123.15,335770.14,684.28,13.08,14.54,43.93,270.98,91.69,2.430,50,152,49,0.98,0.75,-0.29,,
20230720_140416.920,4263142.13,335772.95,657.36,7.67,9.83,23.66,270.06,88.59,4.774,7,7,5,1.14,0.94,-0.11,,
20230720_144510.080,4263132.67,335860.67,730.28,7.96,10.60,21.09,274.83,90.47,4.175,37,32,29,0.94,1.09,-0.13,,
20230720_151525.720,4263150.60,335698.05,578.93,6.39,9.42,30.00,271.54,88.71,2.789,26,12,10,1.09,0.77,-0.22,,
20230720_151605.460,4263139.01,335690.73,583.31,10.60,11.43,36.14,271.27,90.28,2.543,71,140,327,1.48,1.69,0.43,,
20230720_151640.020,4263149.21,335700.68,590.81,12.71,14.05,29.52,272.06,89.63,2.491,37,15,16,1.38,0.92,0.00,,
20230720_151855.840,4263142.63,335690.75,607.52,13.09,13.95,25.50,270.57,91.12,2.504,30,19,13,0.61,0.67,-0.51,,
20230720_151955.380,4263138.48,335687.39,605.70,11.77,12.84,23.93,270.02,90.02,2.493,50,33,39,0.91,0.89,-0.25,,
20230720_160024.380,4262955.21,335735.72,871.26,10.31,13.59,18.33,261.78,93.58,4.647,13,6,6,1.95,1.11,0.38,,
20230720_160528.760,4263112.11,335812.32,640.03,5.76,11.63,37.25,273.90,92.67,2.584,23,21,20,1.48,1.10,0.14,,
20230720_160916.140,4263102.96,335759.49,699.61,10.15,12.00,42.67,271.48,88.41,2.511,42,60,33,1.03,0.86,-0.20,,
20230720_161020.100,4263111.80,335762.54,694.96,11.45,11.59,23.68,270.03,89.99,2.497,47,33,46,1.26,1.15,0.05,,
20230720_161206.400,4263158.88,335757.39,754.51,8.26,9.49,23.92,271.87,90.94,2.438,18,5,5,1.65,1.08,0.22,,
20230720_162855.320,4263096.73,335759.67,676.65,13.31,15.21,29.63,271.28,90.77,2.486,49,43,31,1.00,0.79,-0.26,,
